"","city","state","long","lat","value"
"93","Appleton","WI",-88.4275,44.2675,4
"94","Aptos","CA",-121.905,36.98,2
"95","Arcadia","CA",-118.045,34.1283333333333,6
"96","Arden","NC",-82.54,35.47,2
"97","Arden Hills","MN",-93.15,45.06,1
"98","Ardmore","OK",-97.17,34.19,1
"99","Ardmore","PA",-75.29,40.01,1
"100","Ardsley","NY",-73.85,41.01,1
"101","Arkadelphia","AR",-93.06,34.13,1
"102","Arlington","MA",-71.17,42.42,2
"103","Arlington","TX",-97.131875,32.70875,16
"104","Arlington","VA",-77.0792,38.8744,25
"105","Arlington","WA",-122.163333333333,48.16,3
"106","Arlington Heights","IL",-87.99,42.0825,4
"107","Arnold","MD",-76.5,39.03,1
"108","Arnold","MO",-90.385,38.425,2
"109","Arroyo Grande","CA",-120.6,35.125,2
"110","Artesia","CA",-118.08,33.87,1
"111","Arvada","CO",-105.09,39.8222222222222,9
"112","Arvin","CA",-118.94,34.99,1
"113","Ashburn","VA",-77.498,39.038,5
"114","Asheville","NC",-82.5507692307692,35.5630769230769,13
"115","Ashland","KY",-82.64,38.48,1
"116","Ashland","OH",-82.26,40.86,1
"117","Ashland","OR",-122.69,42.195,2
"118","Ashland","VA",-77.47,37.76,1
"119","Ashwaubenon","WI",-88.08,44.47,1
"120","Aspen","CO",-106.82,39.19,1
"121","Astoria","NY",-73.92,40.766,5
"122","Astoria","OR",-123.81,46.19,1
"123","Atascadero","CA",-120.68,35.51,2
"124","Atascocita","TX",-95.17,30,1
"125","Athens","AL",-86.95,34.78,1
"126","Athens","GA",-83.3942857142857,33.9485714285714,7
"127","Athens","OH",-82.07,39.34,1
"128","Athens","TN",-84.61,35.45,1
"129","Athol","MA",-72.19,42.58,1
"130","Atlanta","GA",-84.3831746031746,33.812380952381,63
"131","Atlantic City","NJ",-74.436,39.36,5
"132","Atwater","CA",-120.6,37.3466666666667,3
"133","Auburn","AL",-85.4766666666667,32.6066666666667,3
"134","Auburn","CA",-121.0825,38.9425,8
